"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify File Upload page header","669","Verify that the File Upload page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P18FileUploadTest","smokeTest","Tests.P18FileUploadTest","verifyFileUploadPageHeader"
"Verify table middle cell value","679","Verify that a cell in the middle of the large table can be located","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyMiddleTableCellValue"
"Verify Escape key press","483","Verify that pressing Escape displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyEscapeKeyPress"
"validate That Click here link is displayed and when clicked navigates to a new URL","1052","validate That Click here link is displayed and when clicked navigates to a new URL","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P12DynamicContentTest","smokeTest","Tests.P12DynamicContentTest","validateClickHereLinkIsDisplayedAndNavigatesToNewURL"
"validate Failed login with wrong username","5043","validate Failed login with wrong username","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P8DigestAuthTest","smokeTest","Tests.P8DigestAuthTest","validateDigestAuthWrongUsername"
"validate That Second Image is Broken","512","validate That Second Image is Broken","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateSecondImageisBroken"
"Verify number can be increased using Arrow Up","605","Verify that the number value increases when Arrow Up is pressed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyNumberCanBeIncreased"
"Verify WYSIWYG Editor page header","687","Verify that the WYSIWYG Editor page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyWysiwygEditorPageHeader"
"Verify numeric value can be entered","506","Verify that a numeric value can be entered in the number input","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyNumberCanBeEntered"
"Validate that JQuery UI Menus function is clickable","586","Validate that JQuery UI Menus function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatJQueryUIMenusIsClickable"
"Verify JavaScript Prompt can be dismissed","576","Verify that dismissing the JavaScript Prompt displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptPromptCanBeDismissed"
"Validate that Multiple Windows function is clickable","310","Validate that Multiple Windows function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatMultipleWindowsIsClickable"
"Verify first table column headers","944","Verify that the first table contains the correct column headers","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyFirstTableHeaders"
"Validate Add element functionality","455","Validate Add element functionality","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P2AddRemoveTest","smokeTest","Tests.P2AddRemoveTest","validateAddElementfunctionality"
"validate That Check Boxes Header is Check Boxes","382","validate That Check Boxes Header is Check Boxes","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P6CheckBoxesTest","smokeTest","Tests.P6CheckBoxesTest","validateCheckBoxesHeader"
"Validate that Drop Down function is clickable","388","Validate that Drop Down function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDropDownIsClickable"
"Verify bottom frame text","689","Verify that the bottom frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P34NestedFramesTest","smokeTest","Tests.P34NestedFramesTest","verifyBottomFrameText"
"Verify Horizontal Slider can be set to a specific value","594","Verify that the Horizontal Slider can be moved to a specific value","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifySliderCanBeSetToSpecificValue"
"validate That Third Image exists with 90 height and 120 width","578","validate That Third Image exists with 90 height and 120 width","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateThirdImageExistenceAndDimensions"
"Verify shifting content example links are displayed","543","Verify that all Shifting Content example links are displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyShiftingContentExampleLinksAreDisplayed"
"Verify downloadable files are displayed","407","Verify that downloadable files are displayed on the File Download page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P17FileDownloadTest","smokeTest","Tests.P17FileDownloadTest","verifyDownloadFilesAreDisplayed"
"Verify Large and Deep DOM page header","632","Verify that the Large and Deep DOM page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyLargeDeepDomPageHeader"
"validate That page Contains three images and three paragraphs","605","validate That page Contains three images and three paragraphs","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P12DynamicContentTest","smokeTest","Tests.P12DynamicContentTest","validatePageContainsTwoImagesAndThreeParagraphs"
"Verify redirect link is displayed","374","Verify that the redirect link is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyRedirectLinkIsDisplayed"
"Verify file can be successfully uploaded","1001","Verify that a selected file can be successfully uploaded","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P18FileUploadTest","smokeTest","Tests.P18FileUploadTest","verifyFileCanBeUploaded"
"Verify Status Codes page header","377","Verify that the Status Codes page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCodesPageHeader"
"Validate Failed Login with wrong Password","441","Validate Failed Login with wrong Password","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithWrongPassword"
"Verify file can be selected for upload","732","Verify that a file can be selected for upload","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P18FileUploadTest","smokeTest","Tests.P18FileUploadTest","verifyFileCanBeSelected"
"validate That First Image is Broken","522","validate That First Image is Broken","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateFirstImageisBroken"
"Verify JavaScript Alert text","507","Verify that the JavaScript Alert displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptAlertText"
"Verify content continues loading after multiple scrolls","1670","Verify that additional content continues loading after multiple scrolls","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P26InfiniteScrollTest","smokeTest","Tests.P26InfiniteScrollTest","verifyContentContinuesLoadingAfterMultipleScrolls"
"Verify iFrame editor content","1628","Verify that the iFrame editor displays the expected text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyiFrameText"
"Verify Retrieve Password button is displayed","422","Verify that the Retrieve Password button is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P20ForgotPasswordTest","smokeTest","Tests.P20ForgotPasswordTest","verifyRetrievePasswordButtonIsDisplayed"
"Verify both sortable tables are displayed","647","Verify that both sortable data tables are displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyBothTablesAreDisplayed"
"Verify Status Codes page description","393","Verify that the Status Codes page description is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCodesDescription"
"validate that Clicking About button navigates to Not found page","627","validate that Clicking About button navigates to Not found page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateAboutButtonNavigatesToNotFoundPage"
"Verify all status code links are displayed","598","Verify that all available status code links are displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCodeLinksAreDisplayed"
"Verify large table row count","783","Verify that the large table contains 50 rows","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyTableRowsCount"
"validate that Clicking Gallery button navigates to Not found page","702","validate that Clicking Gallery button navigates to Not found page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateGalleryButtonNavigatesToNotFoundPage"
"Verify dynamically added element appears after loading","5885","Verify dynamically added element appears after loading","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P14DynamicLoadingTest","smokeTest","Tests.P14DynamicLoadingTest","verifyDynamicallyAddedElementAppears"
"Verify status code 500","699","Verify that status code 500 opens the correct page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P42StatusCodesTest","smokeTest","Tests.P42StatusCodesTest","verifyStatusCode500"
"Verify notification message contains a valid result","1529","Verify that the displayed notification message is one of the expected messages","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyNotificationMessageIsValid"
"Verify middle nested frame text","699","Verify that the middle nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P34NestedFramesTest","smokeTest","Tests.P34NestedFramesTest","verifyMiddleFrameText"
"Verify Horizontal Slider can reach maximum value","473","Verify that the Horizontal Slider can be moved to its maximum value","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifySliderMaximumValue"
"Verify JavaScript Alerts page header","396","Verify that the JavaScript Alerts page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptAlertsPageHeader"
"Verify navigation to Menu Element example","664","Verify that clicking Menu Element opens the correct Shifting Content example","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyNavigationToMenuElement"
"Verify redirect changes the URL","871","Verify that clicking the redirect link changes the browser URL","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P36RedirectLinkTest","smokeTest","Tests.P36RedirectLinkTest","verifyUrlChangesAfterRedirect"
"Verify new window URL","692","Verify that the newly opened window has the correct URL","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P33MultipleWindowsTest","smokeTest","Tests.P33MultipleWindowsTest","verifyNewWindowUrl"
"Verify Geolocation instruction text","395","Verify that the Geolocation page displays the correct instruction text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyGeoLocationInstructionText"
"Verify default editor text","757","Verify that the WYSIWYG Editor contains the expected default text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyDefaultEditorText"
"Verify email field can be cleared","605","Verify that the email field can be cleared","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P20ForgotPasswordTest","smokeTest","Tests.P20ForgotPasswordTest","verifyEmailFieldCanBeCleared"
"Validate that Status Codes function is clickable","340","Validate that Status Codes function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatStatusCodesIsClickable"
"Verify first table sorting by last name","642","Verify that the first table can be sorted by Last Name","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyFirstTableSortingByLastName"
"validate that Clicking home button reverts to home page of heroku app","660","validate that Clicking home button reverts to home page of heroku app","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P9DisappearingElementsTest","smokeTest","Tests.P9DisappearingElementsTest","validateHomeButtonRevertsToHomePage"
"Verify additional content loads after scrolling","1224","Verify that additional content is dynamically loaded after scrolling","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P26InfiniteScrollTest","smokeTest","Tests.P26InfiniteScrollTest","verifyAdditionalContentLoadsAfterScrolling"
"Verify Horizontal Slider can reach minimum value","547","Verify that the Horizontal Slider can be moved to its minimum value","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P24HorizontalSliderTest","smokeTest","Tests.P24HorizontalSliderTest","verifySliderMinimumValue"
"Verify email can be entered","565","Verify that an email address can be entered in the email field","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P20ForgotPasswordTest","smokeTest","Tests.P20ForgotPasswordTest","verifyEmailCanBeEntered"
"Validate that GeoLocation function is clickable","332","Validate that GeoLocation function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatGeoLocationIsClickable"
"validate That Broken Images Header is Broken images","519","validate That Broken Images Header is Broken images","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateBrokenImagesHeader"
"Verify notification message appears after clicking the link","1106","Verify that clicking the link displays a notification message","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyNotificationMessageIsDisplayed"
"Verify Slow Resources description text","397","Verify that the Slow Resources page contains the expected description","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifySlowResourcesDescriptionText"
"Verify Slow Resources page description","371","Verify that the Slow Resources page description is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifySlowResourcesDescriptionIsDisplayed"
"Validate Failed Login with empty Password","418","Validate Failed login with empty Password","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithoutPassword"
"Verify Geolocation page header","396","Verify that the Geolocation page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyGeoLocationPageHeader"
"Verify Notification Messages page header","790","Verify that the Notification Messages page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P35NotificationMessagesTest","smokeTest","Tests.P35NotificationMessagesTest","verifyNotificationMessagesPageHeader"
"Verify secure download filenames can be retrieved","1108","Verify that downloadable secure file names can be retrieved","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifySecureDownloadFileNamesCanBeRetrieved"
"Verify Typos paragraph ending text","378","Verify that the Typos paragraph contains the expected ending text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P43TyposTest","smokeTest","Tests.P43TyposTest","verifyTyposParagraphEndingText"
"Verify second table sorting by first name","619","Verify that the second table can be sorted by First Name","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifySecondTableSortingByFirstName"
"validate that canvas is displayed with width 599 and height 200","626","validate that canvas is displayed with width 599 and height 200","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P5ChallengingDomTest","smokeTest","Tests.P5ChallengingDomTest","validateCanvasExistenceWidthHeight"
"Verify JavaScript onload event error message","356","Verify that the JavaScript onload event error message is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P30JavaScriptOnLoadTest","smokeTest","Tests.P30JavaScriptOnLoadTest","verifyJavaScriptOnLoadErrorMessage"
"validate That Context Menu Box is displayed with dashed border, 5px border width, 250px width, 150px height","353","validate That Context Menu Box is displayed with dashed border, 5px border width, 250px width, 150px height","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P7ContextMenuTest","smokeTest","Tests.P7ContextMenuTest","validateContextMenuBoxIsdisplayedAndItsAttributes"
"Verify Enter key press","492","Verify that pressing Enter displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyEnterKeyPress"
"validate Dynamic Content Page Header text is Dynamic Content","528","validate Dynamic Content Page Header text is Dynamic Content","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P12DynamicContentTest","smokeTest","Tests.P12DynamicContentTest","validateDynamicContentHeaderText"
"validate That after dragging first box and dropping it on second box , boxes names should be switched ","1128","validate That after dragging first box and dropping it on second box , boxes names should be switched  ","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P10DragAndDropTest","smokeTest","Tests.P10DragAndDropTest","validateDragAndDropFirstBoxToSecondBox"
"Verify first table reverse sorting by last name","735","Verify that clicking Last Name twice sorts the table in reverse order","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P41SortableDataTablesTest","smokeTest","Tests.P41SortableDataTablesTest","verifyFirstTableReverseSortingByLastName"
"Verify Secure File Download page header","652","Verify that the Secure File Download page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P37SecureFileDownloadTest","smokeTest","Tests.P37SecureFileDownloadTest","verifySecureFileDownloadPageHeader"
"Verify Middle nested frame content","951","Verify that the Middle nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyMiddleFrameText"
"Verify Key Presses page header","414","Verify that the Key Presses page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P31KeyPressesTest","smokeTest","Tests.P31KeyPressesTest","verifyKeyPressesPageHeader"
"Verify that the hidden element becomes visible after clicking Start","5859","Verify that the hidden element becomes visible after clicking Start","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P14DynamicLoadingTest","smokeTest","Tests.P14DynamicLoadingTest","verifyElementAppearAfterLoading"
"Verify negative number can be entered","510","Verify that a negative number can be entered in the number input","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P27InputsTest","smokeTest","Tests.P27InputsTest","verifyNegativeNumberCanBeEntered"
"Verify latitude is displayed","517","Verify that latitude is displayed after clicking Where am I","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P23GeoLocationTest","smokeTest","Tests.P23GeoLocationTest","verifyLatitudeIsDisplayed"
"Verify text can be entered","891","Verify that text can be entered into the WYSIWYG Editor","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyTextCanBeEntered"
"Validate that Large & Deep DOM function is clickable","577","Validate that Large & Deep DOM function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatLargeAndDeepDOMIsClickable"
"validate That after clicking click here link, only third row image and paragraph change after refresh","1434","validate That after clicking click here link, only third row image and paragraph change after refresh","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P12DynamicContentTest","smokeTest","Tests.P12DynamicContentTest","validateThirdImageAndParagraphChangeAfterRefresh"
"Verify Enabled submenu appears after hovering","1550","Verify that hovering over Enabled displays its submenu","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyEnabledSubmenuAppearsOnHover"
"Validate Failed Login with Invalid credentials","429","Validate Failed Login with Invalid credentials","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateFailedLoginWithInvalidCredentials"
"Verify third user name","676","Verify that the third figure displays the correct user name on hover","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P25HoversTest","smokeTest","Tests.P25HoversTest","verifyThirdUserName"
"Verify Slow Resources document ready state","360","Verify that the Slow Resources document reaches complete ready state","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P40SlowResourcesTest","smokeTest","Tests.P40SlowResourcesTest","verifyDocumentReadyState"
"Verify right nested frame text","692","Verify that the right nested frame displays the correct text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P34NestedFramesTest","smokeTest","Tests.P34NestedFramesTest","verifyRightFrameText"
"validate That checkbox is displayed, named A checkbox and is not selected and the button under it is named remove","608","validate That checkbox is displayed, named A checkbox and is not selected and the button under it is named remove","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P13DynamicControlsTest","smokeTest","Tests.P13DynamicControlsTest","validateCheckboxAndItsButtonAreDisplayed"
"validate Drop Down Page Header text is Dropdown List","427","validate Drop Down Page Header text is Dropdown List","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P11DropDownTest","smokeTest","Tests.P11DropDownTest","validateDropDownHeaderText"
"Validate that Disappearing Elements function is clickable","321","Validate that Disappearing Elements function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatDisappearingElementsIsClickable"
"Validate that Horizontal Slider function is clickable","329","Validate that Horizontal Slider function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatHorizontalSliderIsClickable"
"Validate that Exit Intent function is clickable","442","Validate that Exit Intent function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatExitIntentIsClickable"
"Verify text can be cleared","870","Verify that WYSIWYG Editor text can be cleared","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyEditorTextCanBeCleared"
"Verify JQuery UI Menu page header","817","Verify that the JQuery UI Menu page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyJQueryUiMenuPageHeader"
"Verify Floating Menu page header","556","Verify that the Floating Menu page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P19FloatingMenuTest","smokeTest","Tests.P19FloatingMenuTest","verifyFloatingMenuPageHeader"
"Verify text inside Shadow DOM","388","Verify that Selenium can retrieve text from inside the Shadow DOM","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P38ShadowDomTest","smokeTest","Tests.P38ShadowDomTest","verifyFirstShadowDomText"
"Verify Italic formatting","1264","Verify that Italic formatting can be applied to editor text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyItalicFormatting"
"Verify shifting content example names","404","Verify that the correct Shifting Content examples are available","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P39ShiftingContentTest","smokeTest","Tests.P39ShiftingContentTest","verifyShiftingContentExampleNames"
"Verify JavaScript Confirm can be accepted","606","Verify that accepting the JavaScript Confirm displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptConfirmCanBeAccepted"
"Verify uploaded file name","1000","Verify that the uploaded file name is displayed correctly","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P18FileUploadTest","smokeTest","Tests.P18FileUploadTest","verifyUploadedFileName"
"Verify JavaScript Alert can be accepted","600","Verify that accepting the JavaScript Alert displays the correct result","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P29JavaScriptAlertsTest","smokeTest","Tests.P29JavaScriptAlertsTest","verifyJavaScriptAlertCanBeAccepted"
"Verify Typos paragraph is not empty","440","Verify that the Typos paragraph contains text","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P43TyposTest","smokeTest","Tests.P43TyposTest","verifyTyposParagraphIsNotEmpty"
"Verify deeply nested sibling element","651","Verify that an element inside the deeply nested DOM can be located","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyDeepNestedSibling"
"Verify WYSIWYG Editor iframe","720","Verify that the WYSIWYG Editor iframe is displayed","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P44WysiwygEditorTest","smokeTest","Tests.P44WysiwygEditorTest","verifyEditorFrameIsDisplayed"
